ゲーム名,中央値,機種,ブランド,発売日
はぴねす!,75,PC,ういんどみる,2005-10-21
はじめてのおてつだい,66,PC,Studio Ring,2005-10-28
はぴねす! りらっくす,75,PC,ういんどみるOasis,2006-07-28
FairChild,71,PC,ALcot,2007-12-14
天神乱漫 LUCKY or UNLUCKY!?,75,PC,ゆずソフト,2009-05-29
はぴねす! えもーしょん,75,PC,ういんどみるOasis,2014-05-30
真・恋姫†夢想 -革命- 蒼天の覇王,80,PC,BaseSon,2017-07-28
真・恋姫†夢想 -革命- 孫呉の血脈,80,PC,BaseSon,2018-07-27
真・恋姫†夢想 -革命- 劉旗の大望,73,PC,BaseSon,2019-07-26
はぴねす!2 Sakura Celebration,78,PC,ういんどみるOasis,2019-02-22
Happiness Drops!,,PC,ARES,2017-12-26
はぴねす!2 りらっくす,71,PC,ういんどみるOasis,2020-04-24
